,First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
0,Douglas,Male,1993-08-06,12:42:00,97308,6.945,1,Marketing
1,Thomas,Male,1996-03-31,06:53:00,61933,4.17,1,Marketing
2,Maria,Female,1993-04-23,11:17:00,130590,11.858,0,Finance
3,Jerry,Male,2005-03-04,13:00:00,138705,9.34,1,Finance
4,Larry,Male,1998-01-24,16:47:00,101004,1.389,1,Client Services
5,Dennis,Male,1987-04-18,01:35:00,115163,10.125,0,Legal
6,Ruby,Female,1987-08-17,16:20:00,65476,10.012,1,Product
7,Ruby,Female,2015-07-20,10:43:00,45906,11.598,0,Finance
8,Angela,Female,2005-11-22,06:29:00,95570,18.523,1,Engineering
9,Frances,Female,2002-08-08,06:51:00,139852,7.524,1,Business Development
10,Louise,Female,1980-08-12,09:01:00,63241,15.132,1,Business Development
11,Julie,Female,1997-10-26,15:19:00,102508,12.637,1,Legal
12,Brandon,Male,1980-12-01,01:08:00,112807,17.492,1,Human Resources
13,Gary,Male,2008-01-27,23:40:00,109831,5.831,0,Sales
14,Kimberly,Female,1999-01-14,07:13:00,41426,14.543,1,Finance
15,Lillian,Female,2016-06-05,06:09:00,59414,1.256,0,Product
16,Jeremy,Male,2010-09-21,05:56:00,90370,7.369,0,Human Resources
17,Shawn,Male,1986-12-07,19:45:00,111737,6.414,0,Product
18,Diana,Female,1981-10-23,10:27:00,132940,19.082,0,Client Services
19,Donna,Female,2010-07-22,03:48:00,81014,1.894,0,Product
20,Lois,Female,1995-04-22,19:18:00,64714,4.934,1,Legal
21,Matthew,Male,1995-09-05,02:12:00,100612,13.645,0,Marketing
22,Joshua,Male,2012-03-08,01:58:00,90816,18.816,1,Client Services
23,Joshua,Male,2012-06-14,16:19:00,125792,5.042,0,Client Services
24,John,Male,1992-07-01,22:08:00,97950,13.873,0,Client Services
25,John,Male,2012-10-08,01:12:00,37076,18.576,0,Client Services
26,Craig,Male,2000-02-27,07:45:00,37598,7.757,1,Marketing
27,Scott,Male,1991-07-11,18:58:00,122367,5.218,0,Legal
28,Terry,Male,1981-11-27,18:30:00,124008,13.464,1,Client Services
29,Benjamin,Male,2005-01-26,22:06:00,79529,7.008,1,Legal
30,Christina,Female,2002-08-06,13:19:00,118780,9.096,1,Engineering
31,Joyce,Female,2005-02-20,14:40:00,88657,12.752,0,Product
32,Joyce,Male,1998-08-21,14:27:00,122340,6.417,0,Product
33,Jean,Female,1993-12-18,09:07:00,119082,16.18,0,Business Development
34,Jerry,Male,2004-01-10,12:56:00,95734,19.096,0,Client Services
35,Theresa,Female,2006-10-10,01:12:00,85182,16.675,0,Sales
36,Rachel,Female,2009-02-16,20:47:00,142032,12.599,0,Business Development
37,Linda,Female,1981-10-19,20:49:00,57427,9.557,1,Client Services
38,Stephanie,Female,1986-09-13,01:52:00,36844,5.574,1,Business Development
39,Stephanie,Male,2016-01-29,02:33:00,122173,7.797,0,Client Services
40,Michael,Male,2008-10-10,11:25:00,99283,2.665,1,Distribution
41,Christine,Male,2015-06-28,01:08:00,66582,11.308,1,Business Development
42,Beverly,Female,1998-09-09,20:26:00,121918,15.835,0,Legal
43,Marilyn,Female,1980-12-07,03:16:00,73524,5.207,1,Marketing
44,Cynthia,Female,1988-11-16,18:54:00,145146,7.482,1,Product
45,Roger,Male,1980-04-17,11:32:00,88010,13.886,1,Sales
46,Bruce,Male,2009-11-28,22:47:00,114796,6.796,0,Finance
47,Kathy,Female,2005-06-22,04:51:00,66820,9.0,1,Client Services
48,Clarence,Male,1996-03-26,05:57:00,93581,6.083,1,Business Development
49,Chris,Male,1980-01-24,12:13:00,113590,3.055,0,Sales
50,Nancy,Female,2000-09-23,08:05:00,94976,13.83,1,Engineering
51,Nancy,Female,2011-12-17,08:29:00,41126,14.009,0,Sales
